,gene,transcript,protein_change,score,pvalue,qvalue,info
0,TP53,ENST00000269305,.,.,5.000004342923105,0.00398746012539875,.
1,PIK3CA,ENST00000263967,.,.,5.000004342923105,0.00398746012539875,.
2,BRAF,ENST00000288602,.,.,5.000004342923105,0.00398746012539875,.
3,KRAS,ENST00000256078,.,.,5.000004342923105,0.00398746012539875,.
4,IDH1,ENST00000415913,.,.,5.000004342923105,0.00398746012539875,.
5,CACNA1E,ENST00000367573,.,.,5.000004342923105,0.00398746012539875,.
6,COL11A1,ENST00000370096,.,.,5.000004342923105,0.00398746012539875,.
7,SI,ENST00000264382,.,.,5.000004342923105,0.00398746012539875,.
8,TENM1,ENST00000422452,.,.,5.000004342923105,0.00398746012539875,.
9,PTEN,ENST00000371953,.,.,5.000004342923105,0.00398746012539875,.
10,APC,ENST00000457016,.,.,5.000004342923105,0.00398746012539875,.
11,HCN1,ENST00000303230,.,.,5.000004342923105,0.00398746012539875,.
12,MYH7,ENST00000355349,.,.,5.000004342923105,0.00398746012539875,.
13,ATRX,ENST00000373344,.,.,5.000004342923105,0.00398746012539875,.
14,NF1,ENST00000358273,.,.,5.000004342923105,0.00398746012539875,.
15,SCN3A,ENST00000283254,.,.,5.000004342923105,0.00398746012539875,.
16,SCN9A,ENST00000409672,.,.,5.000004342923105,0.00398746012539875,.
17,F8,ENST00000360256,.,.,5.000004342923105,0.00398746012539875,.
18,AFF2,ENST00000370460,.,.,5.000004342923105,0.00398746012539875,.
19,COL3A1,ENST00000304636,.,.,5.000004342923105,0.00398746012539875,.
20,CDKN2A,ENST00000498124,.,.,5.000004342923105,0.00398746012539875,.
21,COL4A5,ENST00000328300,.,.,5.000004342923105,0.00398746012539875,.
22,COL1A2,ENST00000297268,.,.,5.000004342923105,0.00398746012539875,.
23,NRAS,ENST00000369535,.,.,5.000004342923105,0.00398746012539875,.
24,NLGN4X,ENST00000381095,.,.,5.000004342923105,0.00398746012539875,.
25,HEPH,ENST00000519389,.,.,5.000004342923105,0.00398746012539875,.
26,ARID2,ENST00000334344,.,.,5.000004342923105,0.00398746012539875,.
27,BCOR,ENST00000378444,.,.,5.000004342923105,0.00398746012539875,.
28,KCNQ3,ENST00000388996,.,.,5.000004342923105,0.00398746012539875,.
29,COL4A6,ENST00000372216,.,.,5.000004342923105,0.00398746012539875,.
30,AMER1,ENST00000330258,.,.,5.000004342923105,0.00398746012539875,.
31,SLITRK4,ENST00000381779,.,.,5.000004342923105,0.00398746012539875,.
32,SLITRK2,ENST00000370490,.,.,5.000004342923105,0.00398746012539875,.
33,CACNA1F,ENST00000376265,.,.,5.000004342923105,0.00398746012539875,.
34,CFTR,ENST00000003084,.,.,5.000004342923105,0.00398746012539875,.
35,SMAD4,ENST00000342988,.,.,5.000004342923105,0.00398746012539875,.
36,KDM6A,ENST00000377967,.,.,5.000004342923105,0.00398746012539875,.
37,KCNH2,ENST00000262186,.,.,5.000004342923105,0.00398746012539875,.
38,GABRA1,ENST00000428797,.,.,5.000004342923105,0.00398746012539875,.
39,FGFR3,ENST00000340107,.,.,5.000004342923105,0.00398746012539875,.
40,HRAS,ENST00000451590,.,.,5.000004342923105,0.00398746012539875,.
41,PGR,ENST00000325455,.,.,5.000004342923105,0.00398746012539875,.
42,VHL,ENST00000256474,.,.,5.000004342923105,0.00398746012539875,.
43,CLCN5,ENST00000376088,.,.,5.000004342923105,0.00398746012539875,.
44,FOXA1,ENST00000250448,.,.,5.000004342923105,0.00398746012539875,.
45,FGF13,ENST00000370603,.,.,5.000004342923105,0.00398746012539875,.
46,SOX3,ENST00000370536,.,.,5.000004342923105,0.00398746012539875,.
47,EIF1AX,ENST00000379607,.,.,5.000004342923105,0.00398746012539875,.
48,KCNH7,ENST00000332142,.,.,4.6989743472591226,0.007222569283741129,.
49,TP63,ENST00000264731,.,.,4.6989743472591226,0.007222569283741129,.
50,RB1,ENST00000267163,.,.,4.6989743472591226,0.007222569283741129,.
51,PIK3R1,ENST00000521381,.,.,4.6989743472591226,0.007222569283741129,.
52,FOXA2,ENST00000419308,.,.,4.6989743472591226,0.007222569283741129,.
53,NALCN,ENST00000251127,.,.,4.522883088203441,0.0106332270010633,.
54,FBXW7,ENST00000281708,.,.,4.397944351595141,0.0129761414250264,.
55,GRM7,ENST00000357716,.,.,4.397944351595141,0.0129761414250264,.
56,KCNA5,ENST00000252321,.,.,4.397944351595141,0.0129761414250264,.
57,KCNQ5,ENST00000342056,.,.,4.397944351595141,0.0129761414250264,.
58,RASA1,ENST00000274376,.,.,4.397944351595141,0.0129761414250264,.
59,COL11A2,ENST00000374708,.,.,4.301034338587086,0.0154353295176725,.
60,IL1RAPL2,ENST00000372582,.,.,4.301034338587086,0.0154353295176725,.
61,DIAPH2,ENST00000324765,.,.,4.301034338587086,0.0154353295176725,.
62,CTNNB1,ENST00000349496,.,.,4.221853092539461,0.017667515632535997,.
63,CIC,ENST00000575354,.,.,4.221853092539461,0.017667515632535997,.
64,IRF6,ENST00000367021,.,.,4.221853092539461,0.017667515632535997,.
65,TGFBR2,ENST00000359013,.,.,4.154906302908848,0.0199968149572236,.
66,EDIL3,ENST00000296591,.,.,4.154906302908848,0.0199968149572236,.
67,PCDH19,ENST00000373034,.,.,4.096914355931161,0.0225174218846047,.
68,TRPC5,ENST00000262839,.,.,4.0457618334837795,0.024608325345317997,.
69,KIT,ENST00000288135,.,.,4.0457618334837795,0.024608325345317997,.
70,KCNQ2,ENST00000359125,.,.,4.000004342923105,0.0269574769041042,.
71,CACNA1A,ENST00000360228,.,.,3.958611657764879,0.0288408074823362,.
72,ASL,ENST00000304874,.,.,3.958611657764879,0.0288408074823362,.
73,CAPN6,ENST00000324068,.,.,3.920823096875479,0.0306236937630624,.
74,HNF4A,ENST00000316099,.,.,3.920823096875479,0.0306236937630624,.
75,ATP7A,ENST00000341514,.,.,3.8860609906162673,0.0327391462927476,.
76,ATP11C,ENST00000327569,.,.,3.721250741970275,0.047228099147580006,.
77,MSN,ENST00000360270,.,.,3.698974347259123,0.0490764323126,.
78,ARID1A,ENST00000324856,.,.,3.6777850481891847,0.0508779722329359,.
79,KCNB2,ENST00000523207,.,.,3.6575816621008976,0.0519846653385319,.
80,NRK,ENST00000428173,.,.,3.6575816621008976,0.0519846653385319,.
81,PHKA2,ENST00000379942,.,.,3.585030994952286,0.0606871980060688,.
82,ABCD2,ENST00000308666,.,.,3.552846311580885,0.06379936200638,.
83,SERPINA7,ENST00000327674,.,.,3.552846311580885,0.06379936200638,.
84,F9,ENST00000218099,.,.,3.5376063450241477,0.0653005234653537,.
85,SLC12A5,ENST00000454036,.,.,3.5228830882034416,0.0667667741927233,.
86,TNNT1,ENST00000588981,.,.,3.4559362985728286,0.0769992300077,.
87,GNAQ,ENST00000286548,.,.,3.4318026188561093,0.0804741952580475,.
88,KCNJ3,ENST00000295101,.,.,3.4202207463062937,0.0817205311092957,.
89,COL4A1,ENST00000375820,.,.,3.4089397358966047,0.08202775115106,.
90,MTM1,ENST00000370396,.,.,3.4089397358966047,0.08202775115106,.
91,SOX11,ENST00000322002,.,.,3.3872204862033684,0.0852969731172254,.
92,DCX,ENST00000338081,.,.,3.3767550525252035,0.0855182937532328,.
93,DLX2,ENST00000234198,.,.,3.3767550525252035,0.0855182937532328,.
94,ALAS2,ENST00000330807,.,.,3.3279064849873867,0.0946916846621008,.
95,IRS4,ENST00000372129,.,.,3.2924341668251684,0.0996051263977155,.
96,GABRG2,ENST00000414552,.,.,3.2924341668251684,0.0996051263977155,.
97,AR,ENST00000374690,.,.,3.2924341668251684,0.0996051263977155,.
98,CACNA1I,ENST00000402142,.,.,3.275728473322315,0.102465642010247,.
99,NR2F2,ENST00000394166,.,.,3.259641653428861,0.10526894731052698,.
100,GJA8,ENST00000240986,.,.,3.2441294872506132,0.10801674161476199,.
101,TH,ENST00000381178,.,.,3.2291523312809605,0.110710657599306,.
102,ID4,ENST00000378700,.,.,3.2146745079123376,0.11335226453560698,.
103,PAK3,ENST00000360648,.,.,3.200663793469523,0.115943071338517,.
104,SMARCA1,ENST00000371122,.,.,3.1938243689392176,0.116661690525952,.
105,GPC4,ENST00000370828,.,.,3.187090986280249,0.11736675086079301,.
