,gene,transcript,protein_change,score,pvalue,qvalue,info
100,CUBN,.,.,.,6.355387333713482,7.880708000000001e-05,.
101,SPTAN1,.,.,.,6.353806903750295,7.880708000000001e-05,.
102,ACACB,.,.,.,6.186343366723179,0.00011476030000000001,.
103,TSC2,.,.,.,5.968295508424147,0.0001877776,.
104,EIF1AX,.,.,.,5.8477633458531075,0.00024548209999999997,.
105,CDK4,.,.,.,5.768137072087301,0.0002920986,.
106,DAZAP1,.,.,.,5.724811693791765,0.0003197252,.
107,MUC6,.,.,.,5.720546834361705,0.0003198907,.
108,PTCH1,.,.,.,5.48930984709786,0.0005398038,.
109,AMPD1,.,.,.,5.481005312265525,0.0005418945,.
110,EPHA2,.,.,.,5.479734651864415,0.0005418945,.
111,HMCN1,.,.,.,5.397581104050888,0.0006488932,.
112,KIT,.,.,.,5.329434019159968,0.0007524192,.
113,LAMC1,.,.,.,5.305140966527476,0.0007887266,.
114,KRT222,.,.,.,5.252418702729208,0.0008827867,.
115,SELP,.,.,.,5.171023840916338,0.00105546,.
116,ACVR2A,.,.,.,5.1673446653255795,0.00105546,.
117,USP34,.,.,.,5.098803751120159,0.001225424,.
118,VPRBP,.,.,.,5.085943487176534,0.001251647,.
119,GPS2,.,.,.,5.067262593082184,0.001295772,.
120,TP53BP1,.,.,.,5.054781969672813,0.001322528,.
121,HIST1H3B,.,.,.,5.0307863239703465,0.001386201,.
122,WTAP,.,.,.,5.020486224557345,0.00140793,.
123,RHOA,.,.,.,5.007306143342555,0.001439609,.
124,CTSF,.,.,.,4.959306301530918,0.001594983,.
125,PCBP1,.,.,.,4.891712079590029,0.001848799,.
126,PPP2R2D,.,.,.,4.788826043271506,0.002323203,.
127,RRAS2,.,.,.,4.785675232092747,0.002323203,.
128,FGFR3,.,.,.,4.747692241576292,0.002514418,.
129,INPPL1,.,.,.,4.744591437273613,0.002514418,.
130,LAMA3,.,.,.,4.736375055173232,0.002542881,.
131,CUL1,.,.,.,4.6458906000251625,0.003108192,.
132,RBM14,.,.,.,4.641450337874811,0.003116523,.
133,PTPN11,.,.,.,4.610263149301779,0.0033235659999999996,.
134,TAF1D,.,.,.,4.599687418715567,0.0033802690000000004,.
135,GNB3,.,.,.,4.580763827602999,0.003504852,.
136,MAP2K4,.,.,.,4.55649559627097,0.003679224,.
137,DNMT3A,.,.,.,4.426672975830201,0.004925159,.
138,DYNC1I1,.,.,.,4.404949654845557,0.0051405290000000005,.
139,RNF111,.,.,.,4.368787645766037,0.00554698,.
140,ARID2,.,.,.,4.360817722999188,0.0056064240000000005,.
141,POLR2B,.,.,.,4.357998017121049,0.0056064240000000005,.
142,ZFP36L2,.,.,.,4.353555885287846,0.005624455,.
143,ZNF750,.,.,.,4.336209587136877,0.005812999,.
144,KANSL1,.,.,.,4.330641458920807,0.0058474009999999995,.
145,MYO9A,.,.,.,4.319031367950676,0.005936655999999999,.
146,NUP93,.,.,.,4.31811304889162,0.005936655999999999,.
147,KLF5,.,.,.,4.288319029861484,0.006315265,.
148,EEF1A1,.,.,.,4.26690084354473,0.006589996999999999,.
149,NCOR1,.,.,.,4.223029390099507,0.0072418859999999995,.
150,RAB3GAP1,.,.,.,4.203475620465391,0.0075252290000000005,.
151,CPED1,.,.,.,4.200000099447227,0.0075357869999999995,.
152,NID2,.,.,.,4.169162244743537,0.008037457,.
153,COL1A1,.,.,.,4.146686923898607,0.008409394,.
154,CHD8,.,.,.,4.128590889746803,0.008710633,.
155,HIST1H2AK,.,.,.,4.112832584906575,0.008974601,.
156,WDR17,.,.,.,4.049071123956586,0.01032765,.
157,SBNO1,.,.,.,4.034049164027999,0.01062346,.
158,GPSM2,.,.,.,4.0005044653376345,0.01140436,.
159,VPS13C,.,.,.,3.9840261271501727,0.01176938,.
160,BCORL1,.,.,.,3.9791715220043398,0.01176938,.
161,LARP1,.,.,.,3.977210485597665,0.01176938,.
162,COL5A3,.,.,.,3.9760310312860327,0.01176938,.
163,SLC9C1,.,.,.,3.9637924308914623,0.01203195,.
164,TTC3,.,.,.,3.9534119775907404,0.01220262,.
165,ERBB3,.,.,.,3.95241130759684,0.01220262,.
166,INIP,.,.,.,3.9218358311488033,0.01296796,.
167,ARIH2OS,.,.,.,3.915657195755111,0.01296796,.
168,AXIN1,.,.,.,3.913907235736396,0.01296796,.
169,DICER1,.,.,.,3.9070889108879605,0.01296796,.
170,CYHR1,.,.,.,3.905571149870183,0.01296796,.
171,TREX2,.,.,.,3.902923597224722,0.01296796,.
172,TUBB3,.,.,.,3.9029180404202846,0.01296796,.
173,MYH1,.,.,.,3.902646191143445,0.01296796,.
174,DST,.,.,.,3.902640984963697,0.01296796,.
175,RUNX1,.,.,.,3.9005880279129648,0.01296796,.
176,UBR5,.,.,.,3.8797235966044274,0.01352931,.
177,CUTC,.,.,.,3.8768735502200475,0.01354187,.
178,ME3,.,.,.,3.850037063863287,0.01432459,.
179,POLQ,.,.,.,3.8421493117493424,0.01450609,.
180,IKBKE,.,.,.,3.796382460869949,0.01602918,.
181,REV3L,.,.,.,3.7727379463431254,0.01683306,.
182,ASXL2,.,.,.,3.7285438556740247,0.01853436,.
183,TSPYL1,.,.,.,3.715262548258458,0.01900606,.
184,CDKN1A,.,.,.,3.699273030429786,0.01961226,.
185,CBFB,.,.,.,3.6911857522498592,0.01987347,.
186,TSC1,.,.,.,3.674436312397706,0.02054444,.
187,CUL3,.,.,.,3.6651449130119174,0.02087707,.
188,SALL4,.,.,.,3.6461664447782014,0.02169422,.
189,FRYL,.,.,.,3.6332314258880056,0.02223245,.
190,FOXA1,.,.,.,3.6232373214069113,0.02263089,.
191,MPP6,.,.,.,3.613609309444559,0.0230177,.
192,CHD3,.,.,.,3.6056996481295376,0.02331929,.
193,COL7A1,.,.,.,3.5990957345339742,0.02355455,.
194,MSH3,.,.,.,3.5880861507413644,0.02403541,.
195,TCF12,.,.,.,3.577011009361701,0.02453043,.
196,CYP11B2,.,.,.,3.5618780681711693,0.02527133,.
197,HIST1H4B,.,.,.,3.5193320521782057,0.02773161,.
198,ATP10D,.,.,.,3.5031439392640964,0.02864015,.
199,IFT122,.,.,.,3.4969501550742152,0.02890628,.
200,ARHGAP18,.,.,.,3.4749030807519965,0.0302603,.
201,TMEM255B,.,.,.,3.4699288156075974,0.03045736,.
202,SETDB1,.,.,.,3.443794502499439,0.0321871,.
203,ASXL1,.,.,.,3.4272600995698825,0.03327224,.
204,CDKN1B,.,.,.,3.4213399352303617,0.03356437,.
205,RBM10,.,.,.,3.4077862569508213,0.03446028,.
206,IL6ST,.,.,.,3.395499412667587,0.03527789,.
207,NRD1,.,.,.,3.3839910649482268,0.03605105,.
208,EPAS1,.,.,.,3.3797361750151547,0.0362318,.
209,UTP20,.,.,.,3.3601501901400215,0.03772271,.
210,ZBTB20,.,.,.,3.353359486089629,0.03813559,.
211,MARK2,.,.,.,3.3198261757745997,0.04100249,.
212,PLXNB2,.,.,.,3.288096477887543,0.04390321,.
213,KDM5C,.,.,.,3.251585578461682,0.04753056,.
214,RXRA,.,.,.,3.243939961027298,0.04798673,.
215,NR3C1,.,.,.,3.2433974348825014,0.04798673,.
216,TMEM156,.,.,.,3.231372478797937,0.04910662,.
217,SCAF4,.,.,.,3.220871745835867,0.05007767,.
218,ZBTB45,.,.,.,3.2114096346365706,0.05094699,.
219,MAGI1,.,.,.,3.1923585760521602,0.05297841,.
220,IRF6,.,.,.,3.1904810907632224,0.05297841,.
221,TNN,.,.,.,3.181289986165135,0.05386781,.
222,PPP2R5B,.,.,.,3.175688767778195,0.05423429,.
223,DYRK1A,.,.,.,3.17445029792024,0.05423429,.
224,C9orf131,.,.,.,3.1667953048392126,0.05495339,.
225,ZEB2,.,.,.,3.137998988252437,0.05846082,.
226,CNTLN,.,.,.,3.1337686796535325,0.05877299,.
227,RHOB,.,.,.,3.130650332515443,0.05893688,.
228,SLC3A2,.,.,.,3.122858591551697,0.05974179,.
229,TBC1D24,.,.,.,3.114190184218864,0.06068122,.
230,EIF2S3,.,.,.,3.107045455318192,0.06142072,.
231,ZZZ3,.,.,.,3.0997223069752846,0.0621343,.
232,FGF19,.,.,.,3.0982850466255747,0.0621343,.
233,PZP,.,.,.,3.0876395972633777,0.06340403,.
234,ZBTB7B,.,.,.,3.0724109020913555,0.06538732,.
235,ALB,.,.,.,3.064169249869442,0.06635767,.
236,ERCC2,.,.,.,3.0482303934704262,0.06854781,.
237,CLCN2,.,.,.,3.03418079782886,0.07050413,.
238,CREB3L4,.,.,.,3.029543541012305,0.07096282,.
239,ZCRB1,.,.,.,3.0150443190899585,0.07306624,.
240,DOCK3,.,.,.,3.0036896297068476,0.07469055,.
241,CERKL,.,.,.,2.993831433661707,0.07608968,.
242,MUC17,.,.,.,2.9817294326517354,0.07791775,.
243,PLSCR1,.,.,.,2.9615221096811606,0.08129436,.
244,C3,.,.,.,2.9573961392532193,0.0817354,.
245,H3F3A,.,.,.,2.947882293900811,0.08320603,.
246,KLKB1,.,.,.,2.9439611718780747,0.08356289,.
247,NUP210L,.,.,.,2.942139990010136,0.08356289,.
248,AMH,.,.,.,2.9407596780102896,0.08356289,.
249,TRMT1,.,.,.,2.9236862190931814,0.08656572,.
250,AKAP13,.,.,.,2.9177572983064284,0.08740601,.
251,C1orf222,.,.,.,2.915485564283651,0.08751572,.
252,MAP3K4,.,.,.,2.8907735531652503,0.09227375,.
253,SIGLEC8,.,.,.,2.886248447757227,0.09287313,.
254,MAP4K2,.,.,.,2.8768392078716856,0.09453508,.
255,MPRIP,.,.,.,2.865502869641938,0.09665613,.
256,ABCA6,.,.,.,2.8630243201537193,0.09683108,.
257,NES,.,.,.,2.858411964230374,0.09748565,.
258,ZMPSTE24,.,.,.,2.852219519395374,0.09850381,.
259,FOXP1,.,.,.,2.839285428377798,0.1010913,.
260,TNFRSF9,.,.,.,2.8324257098540824,0.1023072,.
261,RANBP2,.,.,.,2.822323278776939,0.1043153,.
262,TTK,.,.,.,2.819908835359278,0.10449800000000001,.
263,BTBD11,.,.,.,2.808022506132398,0.1069907,.
264,FAM134A,.,.,.,2.7991355543881937,0.1087905,.
265,TDRD3,.,.,.,2.796899361800333,0.10894100000000001,.
266,LAMA2,.,.,.,2.7879357740675696,0.1107963,.
267,ATP2A2,.,.,.,2.7834664890757117,0.1115247,.
268,DDR2,.,.,.,2.776079058235172,0.1130163,.
269,HECW2,.,.,.,2.7696834308703138,0.1142681,.
270,CDH11,.,.,.,2.7614370677357742,0.1160288,.
271,ACTRT3,.,.,.,2.74533689963056,0.1199683,.
272,GSDMC,.,.,.,2.740189983208753,0.1209539,.
273,LGALS2,.,.,.,2.7375014489852325,0.12126079999999999,.
274,RIPPLY3,.,.,.,2.7277888198398066,0.12330830000000001,.
275,DEFB116,.,.,.,2.7270707688890887,0.12330830000000001,.
276,SENP6,.,.,.,2.7239563768104724,0.1234751,.
277,FGF23,.,.,.,2.7233479751466483,0.1234751,.
278,NUMA1,.,.,.,2.7208796893627776,0.12373379999999999,.
279,SPO11,.,.,.,2.715776874691006,0.1247491,.
280,ST3GAL6,.,.,.,2.713481332239952,0.12496389999999999,.
281,MTIF3,.,.,.,2.7041603146338304,0.1272222,.
282,ZNF521,.,.,.,2.697708259175909,0.1286701,.
283,PLCG1,.,.,.,2.690189765432654,0.130456,.
284,BRWD1,.,.,.,2.6858278264718543,0.1310787,.
285,ACACA,.,.,.,2.6850740553087658,0.1310787,.
286,TRIP4,.,.,.,2.6832163766092547,0.1311819,.
287,MYH9,.,.,.,2.66736584866691,0.13558570000000003,.
288,TRRAP,.,.,.,2.6638724182716462,0.1362079,.
289,ACVR1B,.,.,.,2.655492388301012,0.1383828,.
290,ATF7IP,.,.,.,2.653111139560988,0.1386654,.
291,RPL5,.,.,.,2.645426000823311,0.14065770000000002,.
292,SVIL,.,.,.,2.639598407478639,0.14207129999999998,.
293,MEN1,.,.,.,2.6321113233802023,0.1440501,.
294,ATG2B,.,.,.,2.6261694058286102,0.1447615,.
295,NIP7,.,.,.,2.62615214455089,0.1447615,.
296,DIRAS1,.,.,.,2.6249537971554453,0.1447615,.
297,AP1S1,.,.,.,2.624102935509186,0.1447615,.
298,F5,.,.,.,2.615475446978149,0.14717220000000003,.
299,FRMD7,.,.,.,2.611225843778628,0.1481239,.
300,C1orf192,.,.,.,2.6077627277769473,0.1488138,.
301,OR6C1,.,.,.,2.5969448854083215,0.1520619,.
302,CAMTA2,.,.,.,2.5815654570775655,0.1570233,.
303,UTRN,.,.,.,2.5635828959536324,0.16312320000000002,.
304,IFRD1,.,.,.,2.5613178135027597,0.1634386,.
305,RQCD1,.,.,.,2.559632392566075,0.16353789999999999,.
306,NBAS,.,.,.,2.555394888389388,0.1646035,.
307,MACF1,.,.,.,2.5506039934424267,0.16556099999999999,.
308,SYCP2,.,.,.,2.550055774835556,0.16556099999999999,.
309,SMAD2,.,.,.,2.548330517463801,0.1656838,.
310,STAT3,.,.,.,2.538965578830852,0.168355,.
311,ODAM,.,.,.,2.5385918230699027,0.168355,.
312,FAS,.,.,.,2.5319044560980464,0.17042120000000002,.
313,AKR1B15,.,.,.,2.5085601401937114,0.17925970000000002,.
314,PTPRU,.,.,.,2.4878366427658873,0.1869947,.
315,FAM180A,.,.,.,2.4864520088855966,0.1869947,.
316,NFKBIZ,.,.,.,2.486083694878136,0.1869947,.
317,SNRNP48,.,.,.,2.4795623227927,0.1888103,.
318,MCM4,.,.,.,2.47915608035411,0.1888103,.
319,MYH7B,.,.,.,2.475905716805989,0.1896342,.
320,CLMN,.,.,.,2.473734403816829,0.1899909,.
321,C6orf1,.,.,.,2.469248240494863,0.1912993,.
322,POU5F1,.,.,.,2.468056381102574,0.1912993,.
323,TAF2,.,.,.,2.4664006518450323,0.19143729999999998,.
324,GOLGA3,.,.,.,2.4642611774498104,0.19179079999999998,.
325,OR52B6,.,.,.,2.4614691197015275,0.19243570000000002,.
326,SRRT,.,.,.,2.4531367925267595,0.1955635,.
327,OR4M2,.,.,.,2.439034533610231,0.2014021,.
328,NOP2,.,.,.,2.4370538057888367,0.20170770000000002,.
329,ABCG8,.,.,.,2.4352584437048073,0.20192960000000001,.
330,CPNE9,.,.,.,2.4314188448779244,0.2031073,.
331,TCEB3CL,.,.,.,2.428937385242496,0.2033517,.
332,C6ORF165,.,.,.,2.4282802236425436,0.2033517,.
333,GPLD1,.,.,.,2.407375960871856,0.2126152,.
334,DCAF11,.,.,.,2.4063332059247977,0.2126152,.
335,RALGAPB,.,.,.,2.401472665711908,0.21436820000000004,.
336,COL5A2,.,.,.,2.389377413523963,0.2197683,.
337,SLC26A3,.,.,.,2.380901762708511,0.2234364,.
338,EGR1,.,.,.,2.3773174198761446,0.2246235,.
339,NAP1L1,.,.,.,2.3758555385220097,0.22471799999999997,.
340,ROCK2,.,.,.,2.3721595468733745,0.22597399999999998,.
341,TLR5,.,.,.,2.362353192368204,0.2304586,.
342,CCDC110,.,.,.,2.354771536041098,0.2338335,.
343,RIT1,.,.,.,2.3521933104633335,0.234542,.
344,SNW1,.,.,.,2.3400481645364586,0.24049450000000003,.
345,PCDHGC5,.,.,.,2.336344578997393,0.2418531,.
346,USP9X,.,.,.,2.3344795142637387,0.2420594,.
347,SMC3,.,.,.,2.3334397152327866,0.2420594,.
348,PTPN3,.,.,.,2.3322249480970463,0.2420594,.
349,MRI1,.,.,.,2.328173059978738,0.24363020000000002,.
350,TECTB,.,.,.,2.322693416492628,0.24534789999999998,.
351,CRIM1,.,.,.,2.322109753423779,0.24534789999999998,.
352,EPG5,.,.,.,2.3214153437568386,0.24534789999999998,.
353,NMS,.,.,.,2.3158142976130023,0.247752,.
354,ZNF609,.,.,.,2.31382829890463,0.247752,.
355,CD1D,.,.,.,2.313505212250783,0.247752,.
356,ACTC1,.,.,.,2.311279835527771,0.2483272,.
357,JDP2,.,.,.,2.309349123928137,0.2485779,.
358,TXNIP,.,.,.,2.3084154246490147,0.2485779,.
359,ARID5B,.,.,.,2.3066512453087005,0.2488964,.
360,HNRNPUL2,.,.,.,2.2979856894847366,0.25261279999999997,.
361,ANAPC4,.,.,.,2.29685303805544,0.25261279999999997,.
362,IFRD2,.,.,.,2.2966103362526855,0.25261279999999997,.
363,GANAB,.,.,.,2.285760965295959,0.25829139999999995,.
364,WIF1,.,.,.,2.2835219480706903,0.2585912,.
365,CCND1,.,.,.,2.2827477691910594,0.2585912,.
366,CD79B,.,.,.,2.2816924168753,0.2585912,.
367,LY96,.,.,.,2.271568863626809,0.26397070000000006,.
368,PKD1L1,.,.,.,2.2683083538547284,0.26439,.
369,ABCA10,.,.,.,2.2666088307807613,0.26439,.
