gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
SLITRK6	4	0	2	0.13080444735120994	0.2538205028469919
CASP14	2	0	1	0.13119916032537393	0.2538205028469919
UNC5A	2	0	1	0.1316655694535879	0.2538205028469919
ENOX2	1	0	1	0.13220518244315177	0.2538205028469919
AUH	1	0	1	0.13287270794578793	0.2538205028469919
FHOD3	2	0	1	0.13303179459890913	0.2538205028469919
ARSB	1	0	1	0.1330671989354624	0.2538205028469919
KIAA1109	7	0	2	0.1332090049287332	0.2538205028469919
CENPL	1	0	1	0.13370771493515177	0.2538205028469919
HELLS	1	0	1	0.13401232913428035	0.2538205028469919
UCK2	1	0	1	0.13412017167381973	0.2538205028469919
MANEA	2	0	1	0.13433637829124126	0.2538205028469919
RABGAP1	2	0	1	0.13473457289140395	0.2538205028469919
STARD3	1	0	1	0.13486176668914363	0.2538205028469919
KCNH5	2	0	1	0.1349527665317139	0.2538205028469919
JMJD4	1	0	1	0.1352265043948614	0.2538205028469919
ZNF112	2	0	1	0.13537295248409367	0.2538205028469919
BCOR	1	0	1	0.13548299688389107	0.2538205028469919
RAB9A	2	0	1	0.13612850530901172	0.254398568089861
TMPRSS11D	1	0	1	0.13655605626109518	0.2545674629064861
FNDC4	3	0	1	0.13795006207752794	0.25558426223825464
EPHA5	3	0	1	0.13831258644536654	0.25558426223825464
SPTAN1	1	0	1	0.1383700013837	0.25558426223825464
PSTPIP2	1	0	1	0.13945056477478734	0.25558426223825464
EML4	1	0	1	0.1398014818957081	0.25558426223825464
SLIT1	2	0	1	0.1399384270920795	0.25558426223825464
WDR74	1	0	1	0.13995801259622112	0.25558426223825464
ANAPC7	1	0	1	0.14021312394840157	0.25558426223825464
AASS	2	0	1	0.14029180695847362	0.25558426223825464
USP51	2	0	1	0.14076576576576577	0.25558426223825464
FAM153B	2	0	1	0.1408252358822701	0.25558426223825464
GABRA1	2	0	1	0.1414227124876255	0.25605311253754737
PTMA	1	0	1	0.14245014245014245	0.25652054848510175
FAM168A	2	0	1	0.142571998859424	0.25652054848510175
SRGAP1	2	0	1	0.14289797084881395	0.25652054848510175
SLC6A14	1	0	1	0.14338973329509608	0.25652054848510175
PDE5A	2	0	1	0.14345144168698895	0.25652054848510175
KCNAB1	1	0	1	0.14371945961483185	0.25652054848510175
BRCC3	3	0	1	0.14425851125216388	0.2568754150834522
NCAPH2	2	0	1	0.14482259232440262	0.2572730757762917
RALGAPA1	3	0	1	0.1452643811737362	0.25745213095345265
HAUS1	1	0	1	0.1456876456876457	0.2575975936631674
LMO4	2	0	1	0.14611338398597312	0.25774674044254603
MSN	2	0	1	0.14669209329617133	0.258164406616805
MSX2	1	0	1	0.14712373105781962	0.25832189988059023
AKR1B1	1	0	1	0.14814814814814814	0.2591851082878815
FGF9	1	0	1	0.14830194275545008	0.2591851082878815
WDR70	1	0	1	0.14892032762472077	0.2593368122250343
PLCB2	1	0	1	0.1490757304710793	0.2593368122250343
TTC39A	1	0	1	0.14952153110047847	0.2595143815651983
DDX20	2	0	1	0.15082956259426847	0.2610590491364997
CAPN6	2	0	1	0.1511030522816561	0.2610590491364997
ZNF132	2	0	1	0.15255530129672007	0.2618908868908869
LIPK	1	0	1	0.15257857796765334	0.2618908868908869
TAS2R50	1	0	1	0.15262515262515264	0.2618908868908869
PCDH10	4	0	1	0.15379883112888343	0.26330638889412017
SMARCC2	4	0	1	0.15432098765432098	0.2633326543652532
IRF2BP1	1	0	1	0.15451174289245984	0.2633326543652532
OTUB1	2	0	1	0.1556420233463035	0.264476312380504
SUPT5H	3	0	1	0.15696123057604772	0.264476312380504
EIF2S2	1	0	1	0.1570598397989634	0.264476312380504
DOCK3	2	0	1	0.15812776723592664	0.264476312380504
TM4SF19	1	0	1	0.1583029919265474	0.264476312380504
ASTN2	4	0	1	0.1584032947885316	0.264476312380504
LATS2	2	0	1	0.15865460891638902	0.264476312380504
ACADL	1	0	1	0.1589572405023049	0.264476312380504
LYG1	1	0	1	0.1589572405023049	0.264476312380504
PLSCR5	2	0	1	0.15959144589849983	0.264476312380504
FARP1	3	0	2	0.16005121638924455	0.264476312380504
ARID1A	4	0	1	0.1601537475976938	0.264476312380504
B4GALNT3	2	0	1	0.16087516087516088	0.264476312380504
ZRANB3	3	0	1	0.16105653084232566	0.264476312380504
VARS2	3	0	1	0.16134236850596967	0.264476312380504
NFAT5	6	0	2	0.16144656118824668	0.264476312380504
SMARCA4	4	0	1	0.16178611875101118	0.264476312380504
LRFN5	3	0	1	0.1618384851917786	0.264476312380504
RTF1	1	0	1	0.1618384851917786	0.264476312380504
BRINP3	3	0	1	0.16323865491348352	0.2661883033686394
