gene,score
ANO3,-12.57477479
ANO7,-16.61368048
ANO9,0.772945145
ANP32E,35.2102816
ANPEP,-14.31844167
ANTXR1,-6.350225083
ANXA1,-5.717644312999999
ANXA11,12.78215137
ANXA13,-6.0150775460000006
ANXA3,-5.372617855
ANXA7,-8.492830947
ANXA9,-6.278983354
AOC2,3.8652598339999997
AOX1,-5.831099162
AP1G1,10.84476194
AP1S1,-2.9857260560000003
AP1S2,-1.924185999
AP1S3,1.14304928
AP2A1,-3.8701271989999997
AP2B1,-15.15039931
AP3D1,-16.85963306
AP3M2,-4.980822986000001
AP3S1,26.923942800000003
APBB1IP,-3.0753410860000003
APC,274.9808634
APH1B,-4.046785809
APLF,2.627847852
APLP1,-9.445622716
APMAP,0.45862757600000004
APOA2,-1.767698797
APOA5,2.594706729
APOB,182.065694
APOBEC1,9.625546847999999
APOBEC3B,-7.1107264070000005
APOBEC3F,-5.765918537999999
APOBEC3G,6.489093417
APOBEC3H,-3.22635515
APOC2,2.4981105759999997
APOC4,-2.326968857
APOD,-1.195459115
APOE,-5.501177331
APOF,-5.703575796
APOL6,-4.9049768369999995
APOLD1,5.051676586
APOM,-3.28111531
APOO,-0.539404211
APPL1,-11.18905833
APPL2,-10.31744605
APTX,1.232900858
AQP1,-5.503093783
AQP10,1.335676913
AQP3,-5.2558898130000005
AQP6,-4.925482118
AQP9,-4.372911895
AQR,20.96261487
AR,53.85490904
ARAF,5.590313171
ARAP2,3.404077338
ARF6,-1.9122612330000002
ARFGAP2,-9.469548402000001
ARFGAP3,5.564375409
ARFGEF2,1.633182999
ARFIP1,-6.936785786000001
ARFRP1,2.374672594
ARG2,-2.088676057
ARGFX,-2.313633092
ARHGAP11A,-0.732918871
ARHGAP17,-15.53836114
ARHGAP22,-8.07872313
ARHGAP24,-8.633953012000001
ARHGAP26,-9.34287964
ARHGAP29,-10.37194665
ARHGAP32,-25.23464461
ARHGAP35,43.0377739
ARHGAP5,-2.447969015
ARHGAP6,7.683829306
ARHGEF1,-7.849883285
ARHGEF10,-23.63901041
ARHGEF10L,-19.86081089
ARHGEF11,-1.360038588
ARHGEF12,-16.23810885
ARHGEF18,-20.61027591
ARHGEF2,-15.07062612
ARHGEF3,-10.67126737
ARHGEF35,-8.633221244
ARHGEF38,-8.896697427000001
ARID1A,1305.065102
ARID1B,167.38341599999998
ARID2,195.99158880000002
ARID3A,-7.850489725
ARID3B,8.33479736
ARID3C,4.216987883
ARID5B,-11.41360956
ARIH1,-9.784252084
ARIH2OS,-0.100430905
ARL1,-2.989306094
ARL10,-5.6965639
ARL14,-2.633788189
ARL6IP1,4.710003363
ARL6IP5,-2.247384152
ARL6IP6,-4.482061003
ARL8A,-3.323405667
ARMC1,11.98506485
ARMC12,-6.244229591
ARMC2,-14.41008324
ARMC4,3.9046527589999998
ARMC5,-10.21306559
ARMC9,41.35503415
ARMCX3,-6.434566161
ARMCX6,-5.460460317999999
ARMS2,0.396429333
ARNT,5.998172302
ARNT2,-3.088813285
ARPC1A,-5.718645792999999
ARR3,-1.565010745
ARRDC5,2.1180798259999998
ARSA,-8.258728805
ARSG,-5.83107619
ARV1,7.890601158
ARVCF,-16.15522459
ASAH2,-14.17026748
ASB15,3.19110701
ASB16,1.724035327
ASB18,-4.143785756000001
ASB4,-5.719825321
ASB6,9.060996436
ASB8,74.34103813
ASCC1,-7.880876751000001
ASCC3,-5.003301314
ASF1B,-2.9768194
ASGR1,1.288119905
ASIC1,-11.11310665
ASIC4,-11.03708366
ASIC5,-0.228677913
ASNA1,8.301245698999999
ASNSD1,-7.0844455889999995
ASPA,24.88137136
ASPG,4.095710065
ASPH,-8.342361079
ASPHD1,-5.398020027
ASPHD2,-4.985093147
ASPSCR1,-11.7977484
ASTN1,9.17860511
ASXL1,115.0610105
ATAD1,10.58138326
ATAD2B,25.63360826
ATCAY,49.24101445
ATF1,-0.806820422
ATF2,-3.42540206
ATF7IP,1734.8155600000002
ATG12,5.640568311
ATG4D,-7.968660959
ATG9A,6.639792732999999
ATIC,-9.025093498
ATL1,-9.04883048
ATL2,-11.29742653
ATL3,38.31325308
ATM,3900.956444
ATOH7,-2.604396158
ATP10B,-3.531444038
ATP11B,5.8563526910000006
ATP1A1,17.13970458
ATP1A3,32.83925956
ATP1A4,-3.304342006
ATP1B1,2.362607558
ATP1B2,-5.097719176
ATP2A1,-13.79718604
ATP2B2,-7.039174145
ATP2B3,-6.020912777
ATP6AP1,3.566140705
ATP6AP2,-3.069919247
ATP6V0A1,-10.68048371
ATP6V0C,4.813028863
ATP6V0D1,0.306978527
ATP6V0E1,-0.301345339
ATP6V1B1,-8.449180649
ATP6V1C2,-8.033427198
ATP6V1E1,-3.5381882310000003
ATP6V1E2,-2.109506208
ATP6V1G2,-2.089265691
ATP8A2,-12.56435589
ATP9A,-7.673732251000001
ATP9B,1.292185519
ATPAF1,-6.537061854
ATR,-7.354721369
ATRNL1,-14.97507174
ATRX,150.6549283
ATXN2,8.024195068
ATXN3,-6.170769831
ATXN7,-16.73031518
AURKAIP1,-2.8873503910000005
AURKC,12.09870946
AUTS2,-13.19521096
AVIL,-14.59005225
AVP,-2.939180855
AVPR1A,-6.11055383
AWAT1,-5.940723788
AXIN1,204.6803664
AXIN2,11.43438136
AXL,-5.225411149
AZI2,-7.597139469
AZU1,-4.087021083
B2M,43.9985839
B3GALNT1,-0.38462828
B3GALT4,1.989591739
B3GALT5,-4.98112005
B3GAT2,-4.4453514169999995
B3GNT2,-6.754793089
B3GNT4,-5.468157907
B3GNT7,0.27712701100000003
B4GALNT2,-10.38971361
B4GALT1,-5.8541677089999995
B4GALT2,-6.600706647999999
B4GALT3,-7.084643861
B4GALT4,-1.973574291
B9D2,-2.914682332
BACH2,1.7930781080000002
BAG1,-5.261212145
BAG2,-0.42958354
BAHD1,-11.87203145
BAIAP2,2.883985677
BAIAP2L1,-8.257857784
BAMBI,3.000109755
BANF1,-1.5610100340000002
BANK1,-12.04295378
BANP,-2.39446701
BAP1,117.2287004
BARD1,-13.04805956
BARHL2,-6.036102285
BATF,-1.556351518
BATF2,-3.5821790339999997
BAX,25.01328585
BAZ1A,-11.11024245
BAZ1B,-12.32564209
BAZ2A,143.7560071
BBC3,1.697351415
BBS1,-8.243067477
BBS4,-2.624294396
BBS9,-10.66151932
BCAM,-6.294693252
BCAN,-15.64070287
BCAS1,-6.9017230320000005
BCAT2,2.7489528310000004
BCCIP,1.34695343
BCHE,31.97953464
BCKDK,-7.12860682
BCL10,12.47270136
BCL11A,3.816384562
BCL11B,1.2142623
BCL2,105.1293738
BCL2A1,-2.9739884439999997
BCL2L11,-4.477340173
BCL2L12,-6.427042042
BCL2L13,-2.556812536
BCL2L15,-2.420409169
BCL3,-8.027659265
BCL6,-8.292924256000001
BCL7A,-3.6810313810000004
BCL7B,-4.4996449389999995
BCL9,-10.36756958
BCL9L,-25.87242432
BCLAF1,-8.335746897
BCOR,98.18348464
BCORL1,27.98483365
BCR,-8.229965105
BCS1L,-6.384556959
BDKRB2,-6.211924951
BDP1,-29.32825793
BECN1,-6.034858092
BEND3,-12.88152571
BEND5,-4.970411863
BEND6,-5.168495044
BEST4,-8.007163481000001
BEX1,-2.3333672180000002
BEX2,-0.772102333
BEX4,-2.251133479
BFSP2,66.88101301
BGN,-5.238059945
BHLHB9,-0.523098968
BHLHE22,-5.599914181
BHLHE23,-3.70128795
BICD2,0.372848771
BID,3.2482497919999997
BIK,5.470364722
BIRC3,94.82083069
BIRC5,-1.4394298890000001
BIRC6,67.28441485
BIRC7,-4.936156401
BIRC8,-1.9854375309999999
BLZF1,2.696361954
BMP15,-4.112684716
BMP3,20.25469036
BMP5,38.35341712
BMP8A,-6.743998459
BMP8B,-7.174357168999999
BMPER,-1.795598235
BMPR2,57.73016874
BMS1,-20.73791751
BMX,-8.297987371
BNIP3,2.8097543860000003
BOD1L1,-38.36144253
BOLA1,6.3382311510000005
BORA,-7.818182825
BPIFA1,-0.55275256
BPIFB1,-7.507733362000001
BPIFB3,-6.089246534
BPTF,48.88622366
BRAF,611.2256914
BRAP,-8.676418078
BRCA1,14.93019078
BRCA2,-12.75874761
BRCC3,46.1907273
BRD2,19.55770868
BRD3,2.495950776
BRD4,-4.3314434980000005
BRF1,-13.48867091
BRI3BP,-4.381834833
BRMS1,-5.3492473469999995
BROX,-6.5145580160000005
BRWD1,39.76936926
BSCL2,-8.061942067
BSDC1,-8.832896878
BSND,-5.296425525
BTBD1,-8.484020527
BTBD10,-9.393638349
BTBD11,-19.02711645
BTBD16,-4.8504919619999995
BTBD17,-5.1253059510000005
BTBD3,-7.501387028
BTBD7,7.30099493
BTBD9,-11.10111728
BTC,-3.103948258
BTD,-6.083861981
BTF3,-0.053068139
BTF3L4,5.492466407999999
BTG1,13.5726549
BTG3,-5.403258269
BTK,29.0204418
BTLA,-2.7542299
BTN2A1,12.74653802
BTN3A2,-6.294123129
BTNL3,6.036800399
BUB1,4.475763037
BUB1B,-9.523335142
BUB3,-6.154437217000001
BVES,-4.847282466
C1GALT1,-4.125029116
C1QA,-3.2364907489999997
C1QL1,-4.060660055
C1QL2,-2.551549035
C1QTNF2,-3.827285335
C1QTNF5,-4.5228198410000005
C1QTNF7,-5.1233756669999995
C1QTNF8,-3.858971055
C1S,9.418313991
C2CD2L,-2.803029939
C2CD4A,-5.054480795
C2CD5,7.28370866
C3,-18.40716273
C4BPA,-8.607531827
C5AR2,-5.439825977000001
C8B,-9.697994816
C8G,-3.726725317
C9,-9.356132838999999
CA13,2.38346672
CA2,-4.836167968
CA4,-1.4873350440000002
CA9,-8.017247292999999
CAB39L,-4.978174981
CABIN1,-37.1567421
CABP1,-7.685982619
CABP5,-2.315998413
CACFD1,-4.236245529
CACNA1C,-0.603367648
CACNA1D,26.92485614
CACNA1F,3.46297509
CACNA1G,151.08676599999998
CACNA1I,-17.97387383
CACNA1S,-3.558798059
CACNA2D2,-8.226172381
CACNA2D4,21.91668247
CACNB4,-7.162950048
CACNG1,-4.014633957
CACNG2,-4.105619249
CACNG4,-1.667002782
CACNG5,-4.713543147
CADM2,1.8923576919999998
CADM4,-6.4347174670000005
CALCOCO2,11.23701848
CALML3,-2.189317535
CALML4,12.16856968
CALN1,7.731612225
CALR,1788.3404079999998
CAMK1,3.0912814930000003
CAMK4,-8.040185417
CAMKK1,-10.5433261
CAMKK2,-8.664026441
CAMKMT,-3.577305387
CAMKV,-8.897476764
CAMP,-3.112122515
CAMSAP1,-16.01386894
CAMTA1,-9.652431731
CAMTA2,-16.14929125
CAND2,-4.5842069069999996
CANT1,-6.158379869
CAPG,-5.4911133979999995
CAPRIN1,13.82986924
CAPZA3,-4.501821721000001
CAPZB,-6.181611967
CARD11,25.43619378
CARHSP1,-2.830349212
CARNS1,-4.122348559
CARS,-11.56804978
CARS2,-9.340214302
CASC1,-10.81891792
CASP14,-3.5519571819999998
CASP2,5.832818185
CASP3,-4.57004598
CASP8,29.3240331
CASP9,-7.174045121
CASQ2,-6.810883772
CAST,-12.90685168
CAT,-8.434162523
CATSPER2,-0.096237034
CATSPER3,3.9613011460000003
CATSPERB,-14.59181614
CATSPERG,-7.930247522
CBFA2T3,-10.61769369
CBFB,73.16973322
CBL,23.33750632
CBLB,77.60276809999999
CBLC,-8.619192528
CBLN1,35.7843386
CBLN2,9.298228939
CBLN4,14.6879725
CBR1,1.125615097
CBWD6,-7.40753506
CBX7,-4.613435802
CCAR1,-2.733432477
CCDC102B,-5.020484605
CCDC106,-5.094988868
CCDC113,2.5398695940000002
CCDC114,5.710346176
CCDC115,-3.7352840689999995
CCDC117,-0.8419663209999999
CCDC13,-12.46383524
CCDC134,11.35439362
CCDC136,-12.14557491
CCDC137,4.532427075
CCDC138,-10.97006074
CCDC14,-14.36966108
CCDC142,-12.12200861
CCDC151,9.027729867
CCDC153,8.353198792999999
CCDC157,1.064467869
CCDC158,0.614820114
CCDC159,-5.275473764
CCDC174,-6.151354626
CCDC178,1.2316868140000001
CCDC3,-3.84937702
CCDC30,5.191613906000001
CCDC33,-11.11032561
CCDC34,-1.7361481890000001
CCDC36,-10.15874341
CCDC42,3.5659861910000004
CCDC43,-3.82411732
CCDC47,-4.928251584
CCDC54,-4.021680846000001
CCDC58,-2.420993654
CCDC6,0.6945274640000001
CCDC60,4.592423682
CCDC62,-2.2000744169999997
CCDC63,-1.280554212
CCDC66,-15.63069281
CCDC69,-5.097652753
CCDC71,-7.950116232
CCDC77,-4.984484187
CCDC78,-7.836822987000001
CCDC80,-5.163640706
CCDC81,16.40952342
CCDC84,-5.710815639
CCDC89,-5.614886427999999
CCDC90B,-2.321749877
CCDC91,-8.464420027000001
CCDC92,-5.310844005
CCDC93,43.63546813
CCIN,-7.112179856
CCL11,6.154995322
CCL15,-0.657038036
CCL16,-2.022706419
CCL20,-1.83582245
CCL25,-2.846920514
CCL3,-1.0659620890000001
CCL7,10.78733554
CCM2,4.894052534
CCNA1,7.255745827
CCNB1IP1,9.897290349
CCNC,0.9095272329999999
CCND1,-0.20115666399999999
CCND2,28.42554713
CCND3,247.3267571
CCNE1,-6.85926488
CCNF,-13.12727225
CCNH,-1.6248784280000002
CCNK,-10.386747900000001
CCNT1,-10.26445857
CCNYL1,-5.609005736
CCPG1,7.740515353999999
CCR10,-4.812749287
CCR4,8.072184951
CCR7,-5.707238664
CCR9,-6.192980386
CCSAP,-2.924190785
CCSER1,12.40316601
CCSER2,30.55750867
CCT2,-9.630423593
CCT4,-7.796458635
CCT7,-8.40323176
CCZ1B,-7.78076811
CD101,-16.58305278
CD164,-4.3435571280000005
CD19,-0.6649248010000001
CD1A,-3.911703994
CD1E,15.65176884
CD2,16.33527753
CD209,-7.373168164
CD247,-1.11386277
CD274,-5.109640626
CD28,-3.1983391230000002
CD2AP,-0.42809770399999997
CD300C,-1.605910395
CD300LB,0.873879827
CD300LD,-3.0757737960000004
CD300LF,48.0907816
CD300LG,-6.017703298
CD302,-2.9648460030000003
CD34,-5.636351561000001
CD3E,-3.2610224569999997
CD44,-13.06765222
CD48,-5.061467244
CD5,5.738612937999999
CD55,-9.302503828999999
CD59,-2.521505002
CD68,0.09808799300000001
CD70,-2.94637369
CD74,28.59138215
CD79A,6.923945389
CD79B,20.16226741
CD83,-2.408187764
CD86,49.16778496
CD93,13.60324177
CDADC1,-1.1142159809999999
CDC123,-6.504008858
CDC14B,-10.4339962
CDC20,-8.65416478
CDC20B,0.762414409
CDC23,-10.307660499999999
CDC25C,-5.764770116
CDC34,-3.065024386
CDC37L1,0.883107392
CDC42EP2,-3.6752478589999997
CDC42EP4,-3.4255499510000003
CDC6,4.186154135
CDC73,-7.651095046
CDCA3,-5.5677162110000005
CDCA5,-4.378407644
CDCP2,-1.5619936540000001
CDH1,72.41157468
CDH10,91.24465277
CDH11,43.59667498
CDH13,5.72914216
CDH17,10.82040494
CDH2,14.89964494
CDH23,-35.40362665
CDH26,-7.563005835
CDHR1,-1.728562816
CDHR3,-15.69525916
CDHR4,-11.76931188
CDHR5,0.9192620840000001
CDK1,8.235150423
CDK11A,-15.07164802
CDK12,-17.52157085
CDK13,-4.630679188
CDK15,-7.416669626
CDK16,-9.451986041
CDK19,0.080016985
CDK5,-1.626936909
CDK5R2,-4.625598639
CDK5RAP1,5.876176377
CDK6,7.858032665
CDK7,-6.131128502999999
CDKAL1,-9.835437934
CDKL5,-11.80979952
CDKN1A,16.08561105
CDKN1B,38.44137415
CDKN1C,21.66683014
CDKN2A,777.5949232999999
CDKN2C,12.2210145
CDR1,9.779301797
CDRT15,-3.1263827560000004
CDT1,-9.555406795
CDV3,-4.207870713999999
CDX2,-3.856086776
CDX4,-2.677924389
CDYL,4.195172181
CEACAM16,2.595313712
CEACAM19,-4.409932823
CEACAM7,58.39920225
CEBPA,21.21526799
CEBPB,1.417515223
CEBPD,-4.081474835
CEBPZ,19.65778621
CELF1,-1.932091379
CELSR1,-1.561481053
CEMP1,-3.5444674330000003
CEND1,-2.418575745
CENPA,-2.455805087
CENPB,-8.73627103
CENPE,89.74099001
CENPF,-17.63732171
CENPI,57.732933100000004
CENPK,-3.49674774
CENPP,-4.199112331
CENPT,-9.807064846
CEP135,-16.7196328
CEP152,-15.28314
CEP350,77.94595409
CEP44,-6.8915171939999995
CEP55,-7.000847725
CEP63,-6.8580367739999994
CEP70,-9.502044362000001
CEP85L,3.9563791760000004
CEP89,-0.296263803
CEP97,-6.62113249
CEPT1,-7.1091308060000005
CERS2,0.9874061959999999
CERS3,-6.830977262999999
CERS5,-7.152072477999999
CETN2,-0.42016339
CETN3,4.247213588999999
CFHR1,3.9961741319999997
CFHR2,-3.324747412
CFI,-4.386100456
CFL1,-3.078088623
CFLAR,-5.964700037999999
CGA,-2.7580250239999997
CGB1,-2.313280228
CGGBP1,-2.5946229730000003
CGNL1,-14.59380818
CGREF1,-5.001053598
CH25H,-3.823358475
CHAC1,-3.779465352
CHAD,-0.556203063
CHAMP1,-13.828752800000002
CHCHD6,-4.455873573
CHCHD7,4.335440408
CHD1L,-7.202220845
CHD2,55.31720883
CHD4,-17.84646992
CHD5,-29.74415992
CHD6,-11.85946747
CHD8,48.70808977
CHEK1,-10.40400235
CHEK2,2.6641605
CHGB,-7.776516769
CHI3L2,-7.29799184
CHIC2,3.7804736130000003
CHKB,-0.299799251
CHL1,27.42603403
CHM,-3.1539188260000004
CHMP2B,-3.534143595
CHMP3,-2.4045531280000003
CHMP6,4.806390843
CHN2,0.890649798
CHP2,-3.637982004
CHPF,-11.36138098
CHPF2,-11.38565261
CHRD,-16.2313349
CHRM3,9.252173601
CHRNA1,4.257745075
CHRNA10,67.16853361
CHRNA5,-8.154320107
CHRNA7,-9.664170986
CHRNB1,-6.037404637000001
CHRNB3,-3.637268479
CHST10,1.77789966
CHST11,-4.622312903
CHST14,-5.452055362
CHST3,0.503344996
CHST5,7.4774242289999995
CHTF18,-14.73387847
CHTOP,5.1132997389999995
CHUK,2.558541472
CIAPIN1,-4.326640773
CIB4,5.918250646000001
CIC,13.9794592
CIDEA,3.4614665789999997
CIDEC,-3.57818283
CIITA,-7.706222151
CILP,3.2831016889999995
CIRBP,2.889625831
CISH,-4.957690813
CKAP2,-11.26368447
CKAP4,-4.1278684310000004
CKB,0.221962278
CKM,-5.716695088
CKMT1A,-7.612499582000001
CKMT1B,-7.595895959
CKMT2,-3.625329538
CKS1B,10.65910669
CLASRP,-8.562105962999999
CLCA2,-15.13396047
CLCF1,-3.210558111
CLCN3,-1.0641896
CLCN6,-15.47329127
CLCN7,-11.47601153
CLCNKA,11.614430699999998
CLDN11,-3.5765709169999997
CLDN12,-4.086335276000001
CLDN14,-3.836251182
CLDN17,8.689664567000001
CLDN20,-3.732536407
CLDN22,-3.837891747
CLDN4,-3.612033849
CLDN6,0.971224361
CLDN7,-1.781177896
CLEC11A,-5.364591117
CLEC12B,4.586930084
CLEC16A,-13.53215532
CLEC18B,-0.24592375
CLEC1A,-1.6009392480000002
CLEC2L,7.963821747000001
CLEC4C,-2.15721992
CLEC4D,-2.722841953
CLEC4F,6.920266677000001
CLEC4G,-0.448955471
CLEC5A,-1.6507399130000002
CLEC6A,-1.861972582
CLEC7A,7.686893682000001
CLECL1,-3.740773924
CLIC1,32.40980632
CLIC2,-1.053557104
CLIC4,-1.6814597569999998
CLIC5,0.672734481
CLIC6,1.5577803159999999
CLIP1,-12.98710745
CLIP2,-7.360027044
CLIP3,4.6790909769999995
CLK1,8.416438969
CLMN,-9.772893779
CLN3,-7.134034849
CLN6,1.779541854
CLP1,-2.414542768
CLPSL2,-2.2050240000000003
CLPTM1,3.177700493
CLPTM1L,-9.081444535
CLPX,1.35421202
CLRN1,-4.494770668
CLSTN1,51.14929273
CLSTN3,-6.38032806
CLTB,-4.716598446
CLTC,-5.074659073
CLTCL1,-27.09007452
CLUAP1,-7.3030853979999995
CLUL1,22.55373381
CMBL,1.2388724009999998
CMPK2,-8.459220317
CMTM5,3.691010828
CMTM6,3.796257722
CMTM7,-3.196317118
CNBD1,5.86473584
CNBD2,-11.31211079
CNBP,-3.421148402
CNDP1,0.299252196
CNGA2,0.227309453
CNGA3,-3.067464175
CNKSR1,11.23290625
CNN1,-5.543841129
CNN2,-5.934644132000001
CNN3,-6.133089619
CNNM1,-12.30410911
CNOT11,9.074799565
CNOT3,-8.39976902
CNOT4,-4.333347743
CNOT6,-9.986587662
CNOT6L,-5.536271775
CNOT8,-5.555695194
CNPPD1,6.427460464
CNPY1,-1.79326524
CNR1,0.30214056300000003
CNTLN,-1.366422103
CNTN3,44.4072885
CNTN5,26.82940842
CNTNAP2,3.5064360989999996
CNTNAP4,4.040303786
CNTRL,-31.15205773
COA5,-1.22341749
COBL,-3.1643098760000004
COBLL1,-5.272245433
COG1,-15.67754284
COG6,-3.051685151
COG8,-7.936338185
COL15A1,-8.736350973
COL1A1,83.83733396
COL20A1,-2.940577626
COL25A1,17.43431966
COL27A1,-14.64214137
COL2A1,-11.71184576
COL3A1,1.788616913
