,gene,score
234,UPF2,62.80601468
235,SETD1A,62.6159847
236,DDR2,62.60074446
237,MAP3K13,62.52219413
238,RUNX2,62.49131883
239,KLHDC4,62.1085143
240,TRIM43,61.81036143
241,WNT2,61.7448877
242,KCNH2,61.72505159
243,DEFB118,61.67929651
244,CYC1,61.62972439
245,BRICD5,61.36549588
246,MMRN2,60.98408222
247,SMO,60.94662234
248,SLC7A11,60.93307413
249,USH2A,60.85641303
250,AOC3,60.83926173
251,PTPDC1,60.62056984
252,WDR63,60.20665328
253,TMEM220,60.14130109
254,DENND2C,60.10263128
255,RICTOR,59.87331886
256,CADM3,59.64642968
257,HIST1H2BL,59.64092596
258,ZMYM3,59.42664194
259,ADAMTS5,59.35753899
260,IREB2,59.29595303
261,FLG2,59.22457429
262,MYEF2,59.20346829
263,SWAP70,59.14809895
264,RBBP5,59.14203525
265,VRK2,58.70916216
266,RWDD2B,58.58218713
267,TP53BP2,58.50462604
268,LAMA1,58.44990696
269,CEACAM7,58.39920225
270,OR2M4,58.36266351
271,TMEM92,58.33351931
272,SCPEP1,58.19735001
273,PLCB1,58.15526693
274,SPTA1,58.12963547
275,AZGP1,58.07110384
276,CHD9,58.0633778
277,TMCC1,58.01237728
278,RASGRP1,57.94608908
279,IL4R,57.914394
280,IL12RB2,57.85671624
281,CENPI,57.7329331
282,BMPR2,57.73016874
283,C5,57.18454465
284,ACPP,57.08478681
285,NBEA,57.0504441
286,COPS4,56.99595982
287,GOLPH3,56.98602529
288,JMJD1C,56.92049685
289,ZNF608,56.90376591
290,ANKRD30B,56.78743388
291,RPS6KA3,56.47656174
292,ZKSCAN1,56.43884091
293,ACVR2A,56.3753343
294,ZNF341,56.33235683
295,CYLC2,56.18890228
296,NLRP3,55.88525878
297,FBXO33,55.87560023
298,ARAP1,55.83638344
299,SPG11,55.82168093
300,KRTAP10-6,55.59708451
301,WNT11,55.48434735
302,IGF2BP3,55.46868903
303,RFESD,55.4142388
304,ZNF214,55.3296182
305,MBD6,55.31721239
306,CHD2,55.31720883
307,NCKAP5,55.25495027
308,KIT,55.22611445
309,TNFRSF14,55.03657006
310,MAP2,55.03585258
311,FMN2,54.95951847
312,OR2J3,54.82232129
313,TBC1D10A,54.65171978
314,CARM1,54.62066076
315,ZNF333,54.39545137
316,KRTAP2-1,54.37807947
317,MTMR11,54.30340098
318,IFNE,54.20865436
319,ZSCAN10,54.11426581
320,FTMT,54.06004622
321,TMPRSS15,53.98721508
322,PCLO,53.95582727
323,AR,53.85490904
324,MDGA2,53.77146876
325,ADAM28,53.6756107
326,FAM124A,53.49493175
327,SLC6A16,53.43723562
328,OR10G4,53.3077916
329,SLFN12L,53.2957227
330,TOR4A,53.27332556
331,RYR2,53.26917676
332,HELQ,53.16208313
333,SLC9C1,52.88327956
334,SHISA6,52.75990253
335,GTF2A1,52.74945548
336,SPHKAP,52.72089688
337,ZNF37A,52.69143724
338,RBP4,52.58613867
339,DEFB119,52.55534386
340,CPLX4,52.51376895
341,SFMBT2,52.43105209
342,ZCCHC13,52.36771847
343,PCDH1,52.36392838
344,LRP2,52.33442175
345,SLFN13,52.29826348
346,ATP4B,52.16603477
347,SAG,52.13643013
348,OXR1,52.11342076
349,TRAPPC3,52.08442175
350,MLLT3,51.96150806
351,CCDC169,51.94020519
352,UBASH3B,51.90747619
353,ALG5,51.8737644
354,CDH9,51.73433943
355,LHFPL1,51.71945531
356,DLX4,51.61032775
357,ADIPOR1,51.58920064
358,CPEB4,51.58080695
359,STAB1,51.55806156
360,CYBA,51.52084404
361,P4HA2,51.47448093
362,ABCC4,51.39838377
363,COL17A1,51.2774103
364,ARL16,51.25379802
365,KIAA1958,51.23136382
366,CLSTN1,51.14929273
367,ABCA6,51.10354176
368,EEF1A2,51.04543109
369,FAM170B,50.97704863
370,OR51I1,50.94290947
371,CHMP4B,50.90535797
372,HDAC2,50.88667184
373,TSKS,50.80154139
374,TELO2,50.73740141
375,DCC,50.58643764
376,OGT,50.55660724
377,IGFBP1,50.40180573
378,ARHGAP28,50.37147351
379,AKR1C3,50.32500906
380,RCAN2,50.31489185
381,OR2Y1,50.29294833
382,KANSL1,50.26609857
383,PKMYT1,50.25683636
384,GIMAP5,50.25626269
385,RARS,50.20642539
386,RTL1,50.19578164
387,CLDND1,50.09930155
388,ABCG5,50.01590907
389,CTNNA2,49.98669947
390,CCR5,49.86416076
391,DLK1,49.86074847
392,DNMT3A,49.83901402
393,EXOC3L4,49.72950411
394,CPEB1,49.69538687
395,UBE2A,49.60701632
396,ARRDC3,49.55255188
397,MX2,49.51328968
398,HKDC1,49.45557825
399,CDK3,49.45252734
400,RNF214,49.3422049
401,ATCAY,49.24101445
402,TBL1XR1,49.21455504
403,CD86,49.16778496
404,ACAD9,48.95864284
405,IRX5,48.90696281
406,BPTF,48.88622366
407,ATP13A3,48.7775818
408,CORIN,48.73679049
409,IYD,48.71068231
410,CHD8,48.70808977
411,NCF2,48.67571061
412,ZNF185,48.61686254
413,SCARA5,48.498566
414,NRXN1,48.4871457
415,LRRC8B,48.47843523
416,ACOT13,48.45734988
417,CREB3L3,48.42196432
418,DNM2,48.37470193
419,AK7,48.35384729
420,AADACL2,48.29942451
421,SYNPO,48.25114406
422,LRP12,48.23081918
423,DSCC1,48.22689366
424,AMBN,48.16244966
425,G0S2,48.15022761
426,CD300LF,48.0907816
427,SBK1,48.01854977
428,FBXW5,47.99880269
429,PRB2,47.97711725
430,SPNS1,47.95484865
431,CBFA2T2,47.87442385
432,CYP11B1,47.85846891
433,FEZ1,47.8283817
434,CACHD1,47.82368581
435,PHF7,47.75693715
436,CCM2L,47.75115128
437,DERL3,47.74775137
438,GLI1,47.73621325
439,F10,47.66792312
440,SLCO3A1,47.65155123
441,SOCS1,47.45606433
442,RPAP2,47.4516836
443,NUSAP1,47.39910905
444,ZNF417,47.39287056
445,POLG,47.3774679
446,DYRK1B,47.34582918
447,SLC30A1,47.32309764
448,FAM83F,47.25884854
449,OR4D5,47.16545701
450,ESCO1,47.08619088
451,GFPT1,47.08347764
452,ALG3,46.92833367
453,SNX33,46.91744149
454,N4BP3,46.90145984
455,MYO1H,46.83268203
456,RCBTB2,46.82216127
457,YTHDC1,46.74054267
458,GRIP1,46.69357508
459,IMP3,46.62442075
460,PCBP2,46.56603614
461,ARHGDIG,46.37007701
462,CEP120,46.2808154
463,BRCC3,46.1907273
464,MXRA5,46.16555875
465,EDARADD,46.13078128
466,PYGB,45.65539513
467,OR2B2,45.62132103
468,PROM2,45.60363209
469,LTF,45.49474362
470,MROH2B,45.41517469
