,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TACR2,-0.008908126,-0.004510704,-0.005513755,-0.001215437,-0.001569448,-0.005034557,-0.004718627,-0.003296296,-0.000741914,-0.001560897,-0.00084317,0.009605161,-0.020731571,-0.034123012,-0.003545582,0.001647096,0.02032793,-0.004915234,0.007802556,-0.002021873,0.003668858,0.001047755,-0.009918705,-0.012830143,-0.014332499
TADA2B,-0.011206508,-0.004952672,-0.001569637,-0.000997219,-0.004914531,-0.007172154,-0.004404323,0.004893562,-0.001163099,-0.001274211,0,0.022459951,-0.013464508,-0.003703035,-0.002055177,-0.006553788,-0.003780488,-0.009117114,0,-0.001135481,-0.002976756,-0.000945215,-0.021294346,-0.017120729,-0.018070431
TADA3,-0.009309558,-0.005262437,-0.003581597,0.000675454,-0.005173679,-0.019024132,-0.0041657,-0.004067259,-0.002240555,-0.001679583,-0.00336008,0.00375236,0.006625298,0.038375544,-0.006983204,-0.008340737,-0.003648651,-0.007813678,-0.001856653,-0.002478908,-0.00261015,-0.00184927,-0.01676583,-0.012403456,-0.015902876
TAF1,0.041941756,0.034947361,-0.017086016,-0.009558452,0.015186847,-0.011450093,-0.006851034,0.029546409,0,0,0.005296305,-0.004326882,0.025947167,0.121461832,0.003408692,-0.011381738,0.00649082,0.017563919,-0.004596476,0.014121828,0,0,0.134472039,-0.00941337,-0.002310252
TAF1A,-0.006238153,0,-0.00032026,-0.001443556,-0.003978747,-0.015043959,-0.001992739,-0.003517125,-0.000634438,-0.002205001,-0.001156086,-0.00609848,-0.011393124,-0.001956635,-0.007440015,-0.00463416,0.001429061,-0.007011857,-0.002052106,-0.001221278,-0.000728456,-0.000922554,-0.016589956,-0.012446121,-0.013636451
TAF1C,0.006163109,-0.004048089,-0.010059806,-0.00639375,-0.004150487,-0.009575446,-0.000295461,-0.00488857,-0.000613124,-0.001194989,-0.001218979,-0.009994846,-0.013762724,-0.010930686,-0.00311608,-0.007260256,-0.00086945,-0.002320754,0.009239336,-0.002108099,-0.005632338,-0.001893208,-0.002912766,-0.015411735,0.005231286
TAF3,0.014879904,-0.003554062,0.032508097,-0.003726736,0.002537718,-0.018928607,-0.002192297,0.007905752,-0.001363877,-0.000346592,0,-0.007434411,-0.018222937,-0.002538445,-0.006708938,-0.007705016,-0.004934508,-0.007552536,-0.007395899,0.004523254,0.001463048,0,-0.004637682,-0.004379731,-0.015570552
TAF4,0.011580105,-0.016509256,-0.014667726,-0.015525121,0.006545509,-0.010409618,-0.005553407,0.016593024,-0.003666063,-0.002586837,-0.000484657,-0.000623583,0.006256205,0.041387159,-0.005454559,-0.016174278,0.009648158,-0.009464923,-0.009337148,0,0.003110185,0.000906591,-0.006009806,0.021497531,-0.004432537
TAF5L,-0.006226486,-0.007178796,-0.004530346,0,-0.00163632,-0.009544498,-0.004241885,-0.003858394,-0.001221197,0,0.000705556,-0.005449035,-0.013872044,0.001433926,-0.007484127,-0.006886288,0.001119696,-0.002005701,-0.002243271,-0.000747974,-0.003447181,-0.000780076,-0.007813008,-0.01150346,-0.013107001
TAF6,-0.003068889,-0.00621106,-0.005333529,-0.003793358,-0.001791637,-0.018862587,-0.001496737,0.002134756,-0.001245685,-0.000905283,-0.003347805,0.011100636,0.00382096,0.025930979,-0.006517363,-0.010965269,-0.000282514,-0.002755221,-0.00680679,-0.001635235,-0.005459662,-0.000697154,-0.011018273,-0.008179853,-0.015631335
TAF6L,-0.004793469,-0.004681564,-0.00539751,-0.001163998,-0.000500353,-0.010745804,-0.00630554,-0.003669547,-0.001102803,0.011189431,-0.001874004,0.004348598,-0.011953401,0,-0.008169038,-0.006560995,0,-0.002895067,-0.003481854,-0.003204352,-0.002656814,-0.000763181,-0.012786842,-0.012380586,-0.015612071
TAF9,-0.013344505,-0.001447622,-0.003025114,0.002201725,-0.005319654,-0.018721382,0.003851613,-0.004142177,-0.001466499,-0.002266486,-0.000489348,0.010309136,0.01566828,0.056816472,-0.002841528,-0.011290615,-0.003338278,-0.007308757,0.016082866,-0.002763103,-0.006075473,-0.002952106,-0.027400328,-0.017753574,-0.01564431
TAGAP,-0.000646749,-0.006309634,0,-0.003170783,0,-0.010498719,-0.004118186,-0.003713182,-0.000381039,-0.001741819,-0.001214911,0.003208782,-0.028626214,-0.034021336,-0.005983576,0,-0.002397594,0.014430372,0.001958016,-0.001241598,-0.002250555,-0.000784139,-0.004623858,-0.011512432,-0.012235897
TAGLN2,-0.012712827,-0.003950719,-0.006412942,-0.008447177,-0.002060042,-0.017853044,-0.001898851,-0.004597234,-0.001578125,-0.004770918,-0.000331107,-0.007081828,0.043819198,0.063791634,0.00523307,-0.001230234,0.000671799,-0.004857888,-0.001441042,0.003518951,-0.002448253,-0.005795405,-0.025795534,-0.011751717,-0.013251961
TAGLN3,-0.013917935,-0.002909563,-0.001171493,0.003751538,0.004355868,-0.015128751,-0.007011247,-0.003218613,-0.001324566,0.002781728,0,-0.007138326,-0.011233574,0.024384323,0.015008466,0.021833984,0.008960759,0.004299043,-0.001838516,0.00227141,-0.003332026,-0.000522515,-0.019055702,-0.011840584,-0.012807333
